Student_ID,Sleep_Hours,Assignment_Count,Screen_Time_Hours,Attendance_Percentage,Study_Hours,Social_Media_Usage_Hours,Burnout_Score,Stress_Level
STU00001,6.0,15,3.3,98,4.4,2.4,38.2,Medium
STU00002,9.4,1,1.5,43,3.1,5.6,18.1,Low
STU00003,8.1,12,5.8,50,4.1,7.3,47.9,Medium
STU00004,8.7,12,11.7,54,3.1,6.6,56.2,Medium
STU00005,3.6,4,3.0,66,5.3,3.1,33.6,Low
STU00006,5.6,6,4.7,72,3.5,6.5,43.4,Medium
STU00007,5.6,12,5.6,70,2.7,2.4,47.9,Medium
STU00008,7.1,4,3.9,75,4.0,1.2,29.7,Low
STU00009,8.2,6,10.2,99,8.0,0.7,32.9,Low
STU00010,5.5,12,11.5,96,7.6,3.1,58.4,Medium
STU00011,8.4,9,6.0,78,5.0,5.9,39.5,Medium
STU00012,4.9,5,7.4,81,8.4,3.2,39.2,Medium
STU00013,5.8,4,1.4,76,5.4,7.2,31.6,Low
STU00014,4.5,10,10.1,100,3.1,1.7,39.7,Medium
STU00015,5.1,11,2.8,84,0.6,2.5,34.3,Low
STU00016,4.4,15,7.4,78,9.2,1.4,56.6,Medium
STU00017,9.0,10,1.5,86,7.1,4.7,34.2,Low
STU00018,8.3,10,5.5,42,7.7,1.1,48.8,Medium
STU00019,6.9,6,3.1,96,2.6,4.5,25.3,Low
STU00020,6.1,7,10.3,88,6.7,2.6,41.5,Medium
STU00021,5.9,7,10.6,50,7.9,1.1,44.4,Medium
STU00022,9.3,2,4.1,77,6.0,0.8,22.9,Low
STU00023,6.4,14,5.1,93,3.0,6.5,47.0,Medium
STU00024,4.0,13,8.2,98,9.4,6.4,58.0,Medium
STU00025,8.2,13,11.2,61,1.7,4.2,45.5,Medium
STU00026,7.7,1,4.2,78,3.2,3.2,23.1,Low
STU00027,6.3,2,4.9,72,5.3,3.4,28.1,Low
STU00028,6.5,14,7.4,61,7.5,1.5,56.6,Medium
STU00029,6.7,0,3.3,43,6.4,7.0,31.8,Low
STU00030,7.9,3,10.3,58,7.8,4.6,44.9,Medium
STU00031,9.1,7,7.6,56,7.1,5.5,44.4,Medium
STU00032,5.4,8,4.4,88,7.2,6.8,49.9,Medium
STU00033,5.6,0,7.6,84,9.4,7.6,37.8,Medium
STU00034,7.1,0,9.6,77,2.5,2.7,25.7,Low
